Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms]
Trial005,P15,DarkBlue,hh.avi,arm 1,,Local,7,4772,0.2,0,65203,-,-,63.1,0,33,33,0,0,-,0,5,52607,80.7,0.1,0,0,0,-
Trial005,P15,DarkBlue,hh.avi,hand 1,,Local,8,5887,0.3,0,65203,-,-,133.5,0,40,40,0,0,-,0,4,58516,89.7,0.2,0,0,0,-
Trial005,P15,DarkBlue,hh.avi,hand 2,,Local,9,6087,0.3,0,65203,14055.9,119,1101.3,631.9,791.7,883.8,340,2,1,2,3,55778,85.5,1.7,1,631.9,1,-
Trial005,P15,DarkBlue,hh.avi,arm 2,,Local,10,5006,0.2,0,65203,23426.4,154,632.1,288,351.9,383.9,288,1,0,1,7,52541,80.6,1,0.4,288,0.4,-
Trial005,P15,DarkBlue,hh.avi,torso,,Local,11,13014,0.6,0,65203,19994.9,135,4228.6,1625,1897.9,1981.8,100,3,2,3,4,58749,90.1,6.5,2.5,1625,2.5,-
Trial005,P15,DarkBlue,hh.avi,head,,Local,12,9975,0.5,0,65203,222.2,13,17273.6,21505.9,22039.9,22883.2,660,18,17,23,4,58749,90.1,26.5,33,21289.7,32.7,-
Trial006,P15,DarkBlue,rh.avi,speaker 2,,Local,1,259346,12.5,0,111080,49063.1,211,1772.5,1875.4,2147,2371,160,3,2,4,1,32006,28.8,1.6,1.7,1831,1.6,-
Trial006,P15,DarkBlue,rh.avi,speaker 1,,Local,2,248043,12,0,111080,50258.9,215,701.8,608,712,820.1,252.2,2,1,2,1,32006,28.8,0.6,0.5,608,0.5,-
Trial006,P15,DarkBlue,rh.avi,brown toy,,Local,3,126681,6.1,0,111080,415.2,29,7066.4,6794.5,7451.7,7985,236.2,9,8,15,1,39216,35.3,6.4,6.1,6540.2,5.9,-
Trial006,P15,DarkBlue,rh.avi,green toy,,Local,4,93726,4.5,0,111080,8941.9,102,646.4,559.9,751.9,899.9,320,2,1,2,1,39216,35.3,0.6,0.5,559.9,0.5,-
Trial006,P15,DarkBlue,rh.avi,leg 1,,Local,5,39328,1.9,0,111080,171.4,10,4927.3,5238.6,5580.9,6179.9,179.9,13,12,14,3,101893,91.7,4.4,4.7,5206.6,4.7,-
Trial006,P15,DarkBlue,rh.avi,leg 2,,Local,6,32105,1.5,0,111080,4342.6,77,17083.7,15853.9,16919.5,17896.5,376.3,21,20,30,3,101893,91.7,15.4,14.3,15547.7,14,-
Trial006,P15,DarkBlue,rh.avi,hand 2,,Local,7,17196,0.8,0,111080,14438.5,121,8652.1,7532,8271.9,8956.5,294.5,17,16,20,3,101893,91.7,7.8,6.8,7360.6,6.6,-
Trial006,P15,DarkBlue,rh.avi,arm 2,,Local,8,14044,0.7,0,111080,17536.5,130,1868,1783.7,2095.4,2427.5,411.8,7,6,7,3,101893,91.7,1.7,1.6,1783.7,1.6,-
Trial006,P15,DarkBlue,rh.avi,hand 1,,Local,9,16891,0.8,0,111080,3.5,3,1765.2,1486.3,1631.2,1843.3,135.9,6,5,6,3,101893,91.7,1.6,1.3,1486.3,1.3,-
Trial006,P15,DarkBlue,rh.avi,arm 1,,Local,10,15076,0.7,0,111080,42568.3,195,151.6,112,112,152,112,1,0,1,3,101893,91.7,0.1,0.1,112,0.1,-
Trial006,P15,DarkBlue,rh.avi,head,,Local,11,29274,1.4,0,111080,875.4,48,35369.3,33590.7,35218,36934.5,179.8,33,32,48,3,101893,91.7,31.8,30.2,32936.1,29.7,-
Trial006,P15,DarkBlue,rh.avi,torso,,Local,12,21715,1,0,111080,720.8,40,9005,6427.4,7687.6,8612.5,110.3,21,20,22,3,101893,91.7,8.1,5.8,6318.2,5.7,-
Trial005,P16,DarkCyan,hh.avi,speaker 2,,Local,1,37128,1.8,0,65180,20692.3,140,406,188,293.2,381.1,68,1,0,2,1,13786,21.2,0.6,0.3,152,0.2,-
Trial005,P16,DarkCyan,hh.avi,speaker 1,,Local,2,39240,1.9,0,65180,24879.6,159,1174.6,815.2,1202.8,1410.7,148,5,4,6,1,13786,21.2,1.8,1.3,647.1,1,-
Trial005,P16,DarkCyan,hh.avi,brown toy,,Local,3,16048,0.8,0,65180,1571.4,51,2342.5,1733.7,2239.7,2671.2,92.2,7,6,11,1,16590,25.5,3.6,2.7,1478,2.3,-
Trial005,P16,DarkCyan,hh.avi,green toy,,Local,4,7876,0.4,0,65180,-,-,3.3,0,0,0,0,0,-,0,1,16590,25.5,0,0,0,0,-
Trial005,P16,DarkCyan,hh.avi,leg 1,,Local,5,22568,1.1,0,65180,2375.4,57,1302.2,552.1,703.8,815.8,68,2,1,3,4,58516,89.8,2,0.8,552.1,0.8,-
Trial005,P16,DarkCyan,hh.avi,leg 2,,Local,6,19490,0.9,0,65180,-,-,40.1,0,0,0,0,0,-,0,4,54610,83.8,0.1,0,0,0,-
Trial005,P16,DarkCyan,hh.avi,arm 1,,Local,7,4772,0.2,0,65180,-,-,132.6,0,71.9,71.9,0,0,-,0,5,52607,80.7,0.2,0,0,0,-
Trial005,P16,DarkCyan,hh.avi,hand 1,,Local,8,5887,0.3,0,65180,15945.1,126,579.3,943.9,972,1044,296.3,2,1,2,4,58516,89.8,0.9,1.4,920.3,1.4,-
Trial005,P16,DarkCyan,hh.avi,hand 2,,Local,9,6087,0.3,0,65180,55218.6,220,160.4,312,312,364,312,1,0,1,3,55778,85.6,0.2,0.5,312,0.5,-
Trial005,P16,DarkCyan,hh.avi,arm 2,,Local,10,5006,0.2,0,65180,-,-,104.1,0,84,84,0,0,-,0,7,52541,80.6,0.2,0,0,0,-
Trial005,P16,DarkCyan,hh.avi,torso,,Local,11,13014,0.6,0,65180,57058.4,222,458.9,136,200,243.9,136,1,0,1,4,58749,90.1,0.7,0.2,136,0.2,-
Trial005,P16,DarkCyan,hh.avi,head,,Local,12,9975,0.5,0,65180,320.4,25,24908.6,23374.8,25474.3,26598,191.4,37,36,68,4,58749,90.1,38.2,35.9,21806.5,33.5,-
Trial006,P16,DarkCyan,rh.avi,speaker 2,,Local,1,259346,12.5,0,111066,49597,213,1345.7,939.8,1299.3,1565.7,76.1,4,3,5,1,32006,28.8,1.2,0.8,763.8,0.7,-
Trial006,P16,DarkCyan,rh.avi,speaker 1,,Local,2,248043,12,0,111066,44394,203,1353.9,554.9,1185,1568.4,52,4,3,4,1,32006,28.8,1.2,0.5,554.9,0.5,-
Trial006,P16,DarkCyan,rh.avi,brown toy,,Local,3,126681,6.1,0,111066,6704.3,91,6784.6,5817.9,6761.6,7410.8,108,12,11,25,1,39216,35.3,6.1,5.2,4322.7,3.9,-
Trial006,P16,DarkCyan,rh.avi,green toy,,Local,4,93726,4.5,0,111066,6128.5,88,1131.7,887.8,1480.4,1784.3,308,2,1,3,1,39216,35.3,1,0.8,815.9,0.7,-
Trial006,P16,DarkCyan,rh.avi,leg 1,,Local,5,39328,1.9,0,111066,17522.6,129,3738.3,1233.8,2127.1,2411,115.8,5,4,5,3,101893,91.7,3.4,1.1,1209.8,1.1,-
Trial006,P16,DarkCyan,rh.avi,leg 2,,Local,6,32105,1.5,0,111066,4548.7,78,7528.8,6258.7,7396.6,8387.4,64,16,15,20,3,101893,91.7,6.8,5.6,5942.4,5.4,-
Trial006,P16,DarkCyan,rh.avi,hand 2,,Local,7,17196,0.8,0,111066,66290.3,233,2212.9,1794,2359.6,3011.6,168,8,7,9,3,101893,91.7,2,1.6,1582.1,1.4,-
Trial006,P16,DarkCyan,rh.avi,arm 2,,Local,8,14044,0.7,0,111066,61083.3,228,1495.6,1353.8,1353.8,1393.9,471.8,2,1,2,3,101893,91.7,1.3,1.2,1311.7,1.2,-
Trial006,P16,DarkCyan,rh.avi,hand 1,,Local,9,16891,0.8,0,111066,28148.7,167,4377.8,3417.6,4088.8,4797.1,192,10,9,14,3,101893,91.7,3.9,3.1,3011.7,2.7,-
Trial006,P16,DarkCyan,rh.avi,arm 1,,Local,10,15076,0.7,0,111066,100916.6,241,493.1,184,404.8,499.3,128,2,1,2,3,101893,91.7,0.4,0.2,184,0.2,-
Trial006,P16,DarkCyan,rh.avi,head,,Local,11,29274,1.4,0,111066,330.6,26,48647.8,43824.9,49275.4,52886.1,214.6,54,53,108,3,101893,91.7,43.8,39.5,39418.9,35.5,-
Trial006,P16,DarkCyan,rh.avi,torso,,Local,12,21715,1,0,111066,161.4,8,9600,6211.6,7917.1,9048.1,116,20,19,21,3,101893,91.7,8.6,5.6,6001.3,5.4,-
Trial005,P17,DarkGoldenrod,hh.avi,speaker 2,,Local,1,37128,1.8,0,65185,-,-,0,0,0,0,0,0,-,0,1,13786,21.1,0,0,0,0,-
Trial005,P17,DarkGoldenrod,hh.avi,speaker 1,,Local,2,39240,1.9,0,65185,26147.6,161,3647.3,3442.1,3678.9,3956.9,175.9,5,4,5,1,13786,21.1,5.6,5.3,3406,5.2,-
Trial005,P17,DarkGoldenrod,hh.avi,brown toy,,Local,3,16048,0.8,0,65185,-,-,203.9,0,0,0,0,0,-,0,1,16590,25.5,0.3,0,0,0,-
Trial005,P17,DarkGoldenrod,hh.avi,green toy,,Local,4,7876,0.4,0,65185,-,-,11.9,0,0,0,0,0,-,0,1,16590,25.5,0,0,0,0,-
Trial005,P17,DarkGoldenrod,hh.avi,leg 1,,Local,5,22568,1.1,0,65185,227.9,14,3277.4,2539.4,2715.5,2740,120,2,1,4,4,58516,89.8,5,3.9,2539.4,3.9,-
Trial005,P17,DarkGoldenrod,hh.avi,leg 2,,Local,6,19490,0.9,0,65185,11723.5,114,1315.1,1142.1,1290.1,1374.7,406.5,3,2,4,4,54610,83.8,2,1.8,1113.9,1.7,-
