"","p_id","aoi","cond1","time","cond","age","gender","familiarity","ownARobo","ICA","manipulation","AAP","ica"
"155","P07","hand 2","human",0.0259725711182022,"low",18,"f",0,1,-10,-1,-4,"LOW"
"156","P07","hand 2","robot",0.0110598667715452,"low",18,"f",0,1,-10,-1,-4,"LOW"
"157","P07","head","human",0.157261185416525,"low",18,"f",0,1,-10,-1,-4,"LOW"
"158","P07","head","robot",0.199675224915196,"low",18,"f",0,1,-10,-1,-4,"LOW"
"159","P07","leg 1","human",0.0419207006585647,"low",18,"f",0,1,-10,-1,-4,"LOW"
"160","P07","leg 1","robot",0.0546141413893122,"low",18,"f",0,1,-10,-1,-4,"LOW"
"161","P07","leg 2","human",0.0208143463570995,"low",18,"f",0,1,-10,-1,-4,"LOW"
"162","P07","leg 2","robot",0.0730759303869033,"low",18,"f",0,1,-10,-1,-4,"LOW"
"163","P07","speaker 1","human",0.0501813433918468,"low",18,"f",0,1,-10,-1,-4,"LOW"
"164","P07","speaker 1","robot",0.0593425364828098,"low",18,"f",0,1,-10,-1,-4,"LOW"
"165","P07","speaker 2","human",0,"low",18,"f",0,1,-10,-1,-4,"LOW"
"166","P07","speaker 2","robot",0.035864457086322,"low",18,"f",0,1,-10,-1,-4,"LOW"
"167","P07","torso","human",0.204248421481431,"low",18,"f",0,1,-10,-1,-4,"LOW"
"168","P07","torso","robot",0.17579027579765,"low",18,"f",0,1,-10,-1,-4,"LOW"
"169","P12","arm 1","human",0.0012945045336172,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"170","P12","arm 1","robot",0.015233627432699,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"171","P12","arm 2","human",0.000456786128927885,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"172","P12","arm 2","robot",0.00124051701294495,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"173","P12","brown toy","human",0.102356841470766,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"174","P12","brown toy","robot",0.179385964912281,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"175","P12","green toy","human",0.0593248945147679,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"176","P12","green toy","robot",0,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"177","P12","hand 1","human",0.0156299131861371,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"178","P12","hand 1","robot",0.0386640887990343,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"179","P12","hand 2","human",0.0264010900354979,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"180","P12","hand 2","robot",0.0200259095325489,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"181","P12","head","human",0.530393708829086,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"182","P12","head","robot",0.293578557898972,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"183","P12","leg 1","human",0.00353920295303848,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"184","P12","leg 1","robot",0.0336715966749433,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"185","P12","leg 2","human",0.00021973997436367,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"186","P12","leg 2","robot",0.0123580618884516,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"187","P12","speaker 1","human",0.0316480487451037,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"188","P12","speaker 1","robot",0.017915390864213,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"189","P12","speaker 2","human",0.000580298853909764,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"190","P12","speaker 2","robot",0,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"191","P12","torso","human",0.0292481574154454,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"192","P12","torso","robot",0.122406838546318,"high",19,"f",-1,1,-4,2,0,"MEDIUM"
"193","P13","arm 1","human",0.002395118520349,"high",19,"f",-1,1,-8,2,-14,"LOW"
"194","P13","arm 1","robot",0.00195695484478816,"high",19,"f",-1,1,-8,2,-14,"LOW"
"195","P13","arm 2","human",0.00660817266515673,"high",19,"f",-1,1,-8,2,-14,"LOW"
"196","P13","arm 2","robot",0.0129959859852983,"high",19,"f",-1,1,-8,2,-14,"LOW"
"197","P13","brown toy","human",0.454647377938517,"high",19,"f",-1,1,-8,2,-14,"LOW"
"198","P13","brown toy","robot",0.144446144430845,"high",19,"f",-1,1,-8,2,-14,"LOW"
"199","P13","green toy","human",0.0592706449668475,"high",19,"f",-1,1,-8,2,-14,"LOW"
"200","P13","green toy","robot",0.0120384536923705,"high",19,"f",-1,1,-8,2,-14,"LOW"
"201","P13","hand 1","human",0.00671782076696972,"high",19,"f",-1,1,-8,2,-14,"LOW"
"202","P13","hand 1","robot",0.026455203007076,"high",19,"f",-1,1,-8,2,-14,"LOW"
"203","P13","hand 2","human",0.0279196098820323,"high",19,"f",-1,1,-8,2,-14,"LOW"
"204","P13","hand 2","robot",0.0291953323584545,"high",19,"f",-1,1,-8,2,-14,"LOW"
"205","P13","head","human",0.22544894381181,"high",19,"f",-1,1,-8,2,-14,"LOW"
"206","P13","head","robot",0.281504126878196,"high",19,"f",-1,1,-8,2,-14,"LOW"
"207","P13","leg 1","human",0.00210369813384373,"high",19,"f",-1,1,-8,2,-14,"LOW"
"208","P13","leg 1","robot",0.0422737577654991,"high",19,"f",-1,1,-8,2,-14,"LOW"
"209","P13","leg 2","human",0.0267570042116828,"high",19,"f",-1,1,-8,2,-14,"LOW"
"210","P13","leg 2","robot",0.105617657739001,"high",19,"f",-1,1,-8,2,-14,"LOW"
"211","P13","speaker 1","human",0.319926011896127,"high",19,"f",-1,1,-8,2,-14,"LOW"
"212","P13","speaker 1","robot",0.036961819658814,"high",19,"f",-1,1,-8,2,-14,"LOW"
"213","P13","speaker 2","human",0.100065283621065,"high",19,"f",-1,1,-8,2,-14,"LOW"
"214","P13","speaker 2","robot",0.0236393176279448,"high",19,"f",-1,1,-8,2,-14,"LOW"
"215","P13","torso","human",0.111634240582818,"high",19,"f",-1,1,-8,2,-14,"LOW"
"216","P13","torso","robot",0.248754085167774,"high",19,"f",-1,1,-8,2,-14,"LOW"
"217","P14","arm 1","human",0.000703328454388199,"high",17,"f",-1,1,-12,2,0,"LOW"
"218","P14","arm 1","robot",0.00569420863062232,"high",17,"f",-1,1,-12,2,0,"LOW"
"219","P14","arm 2","human",0.0158714147047068,"high",17,"f",-1,1,-12,2,0,"LOW"
"220","P14","arm 2","robot",0.00126701539850628,"high",17,"f",-1,1,-12,2,0,"LOW"
"221","P14","brown toy","human",0.128890898131404,"high",17,"f",-1,1,-12,2,0,"LOW"
"222","P14","brown toy","robot",0.13641370869033,"high",17,"f",-1,1,-12,2,0,"LOW"
"223","P14","green toy","human",0.0740506329113924,"high",17,"f",-1,1,-12,2,0,"LOW"
"224","P14","green toy","robot",0.0194639942880457,"high",17,"f",-1,1,-12,2,0,"LOW"
"225","P14","hand 1","human",0.00801148403855356,"high",17,"f",-1,1,-12,2,0,"LOW"
"226","P14","hand 1","robot",0.0589746106209455,"high",17,"f",-1,1,-12,2,0,"LOW"
"227","P14","hand 2","human",0.0393058194987271,"high",17,"f",-1,1,-12,2,0,"LOW"
"228","P14","hand 2","robot",0.0168971371929377,"high",17,"f",-1,1,-12,2,0,"LOW"
"229","P14","head","human",0.294588844065431,"high",17,"f",-1,1,-12,2,0,"LOW"
"230","P14","head","robot",0.344858822490259,"high",17,"f",-1,1,-12,2,0,"LOW"
"231","P14","leg 1","human",0.00810547542552464,"high",17,"f",-1,1,-12,2,0,"LOW"
"232","P14","leg 1","robot",0.138380457931359,"high",17,"f",-1,1,-12,2,0,"LOW"
"233","P14","leg 2","human",0.0155978758469145,"high",17,"f",-1,1,-12,2,0,"LOW"
"234","P14","leg 2","robot",0.0592474458500584,"high",17,"f",-1,1,-12,2,0,"LOW"
"235","P14","speaker 1","human",0.35372842013637,"high",17,"f",-1,1,-12,2,0,"LOW"
"236","P14","speaker 1","robot",0.130975442104605,"high",17,"f",-1,1,-12,2,0,"LOW"
"237","P14","speaker 2","human",0.117169592340055,"high",17,"f",-1,1,-12,2,0,"LOW"
"238","P14","speaker 2","robot",0.0238705242766981,"high",17,"f",-1,1,-12,2,0,"LOW"
"239","P14","torso","human",0.101964288753851,"high",17,"f",-1,1,-12,2,0,"LOW"
"240","P14","torso","robot",0.126649524501192,"high",17,"f",-1,1,-12,2,0,"LOW"
"241","P15","arm 1","human",0.00119946014788906,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"242","P15","arm 1","robot",0.00148783527818398,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"243","P15","arm 2","human",0.0120306046706382,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"244","P15","arm 2","robot",0.0183329571216865,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"245","P15","brown toy","human",0.15629294755877,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"246","P15","brown toy","robot",0.180191758465932,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"247","P15","green toy","human",0.0560156720916215,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"248","P15","green toy","robot",0.0164830681354549,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"249","P15","hand 1","human",0.00228142730193451,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"250","P15","hand 1","robot",0.0173240556269812,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"251","P15","hand 2","human",0.0197443436480333,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"252","P15","hand 2","robot",0.0849135858204195,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"253","P15","head","human",0.294023728063456,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"254","P15","head","robot",0.347121980901534,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"255","P15","leg 1","human",0.0124359149634288,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"256","P15","leg 1","robot",0.0483575908060416,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"257","P15","leg 2","human",0.0948251236037356,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"258","P15","leg 2","robot",0.167663136819997,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"259","P15","speaker 1","human",0.100058029885391,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"260","P15","speaker 1","robot",0.021927138661501,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"261","P15","speaker 2","human",0.00668794429131003,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"262","P15","speaker 2","robot",0.0553802412047741,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"263","P15","torso","human",0.071977395359921,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"264","P15","torso","robot",0.0883770229554533,"high",19,"f",-2,1,-4,2,4,"MEDIUM"
"265","P16","arm 1","human",0.00252057710951014,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"266","P16","arm 1","robot",0.00483939034084775,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"267","P16","arm 2","human",0.0019813098342247,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"268","P16","arm 2","robot",0.0146781427575987,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"269","P16","brown toy","human",0.141199517781796,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"270","P16","brown toy","robot",0.173005915952672,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"271","P16","green toy","human",0.000198915009041591,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"272","P16","green toy","robot",0.0288581191350469,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"273","P16","hand 1","human",0.00989985644951808,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"274","P16","hand 1","robot",0.0429646786334684,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
"275","P16","hand 2","human",0.00287568575424002,"high",27,"f",-2,1,-6,2,1,"MEDIUM"
